ZipCode,City,State,Latitude,Longitude,Classification,Population
"01084","WEST CHESTERFIELD","MA","42.3868","-72.8794","","185"
"01085","WESTFIELD","MA","42.1627","-72.7714","","41529"
"01086","WESTFIELD","MA","42.1253","-72.7501","P","0"
"01088","WEST HATFIELD","MA","42.3887","-72.6466","","598"
"01089","WEST SPRINGFIELD","MA","42.1257","-72.6417","","28835"
"01090","WEST SPRINGFIELD","MA","42.1068","-72.6206","P","0"
"01092","WEST WARREN","MA","42.2024","-72.2217","P","1343"
"01093","WHATELY","MA","42.4399","-72.6353","P","290"
"01094","WHEELWRIGHT","MA","42.3517","-72.1405","P","60"
"01095","WILBRAHAM","MA","42.1347","-72.4322","","14694"
"01096","WILLIAMSBURG","MA","42.4361","-72.7701","","2509"
"01097","WORONOCO","MA","42.1594","-72.8751","P","130"
"01098","WORTHINGTON","MA","42.3902","-72.9472","","1147"
"01101","SPRINGFIELD","MA","42.1057","-72.5981","P","0"
"01102","SPRINGFIELD","MA","42.1015","-72.5905","P","0"
"01103","SPRINGFIELD","MA","42.1034","-72.5906","","2545"
"01104","SPRINGFIELD","MA","42.1295","-72.5692","","23598"
"01105","SPRINGFIELD","MA","42.0993","-72.5788","","12051"
"01106","LONGMEADOW","MA","42.0506","-72.5659","","16165"
"01107","SPRINGFIELD","MA","42.1213","-72.6089","","11252"
"01108","SPRINGFIELD","MA","42.0811","-72.5578","","27671"
"01109","SPRINGFIELD","MA","42.1187","-72.5490","","30968"
"01111","SPRINGFIELD","MA","42.1164","-72.5467","U","0"
"01115","SPRINGFIELD","MA","42.1015","-72.5905","P","0"
"01116","LONGMEADOW","MA","42.0647","-72.5131","P","0"
"01118","SPRINGFIELD","MA","42.0956","-72.5243","","14296"
"01119","SPRINGFIELD","MA","42.1225","-72.5115","","14393"
"01128","SPRINGFIELD","MA","42.0958","-72.4856","","2647"
"01129","SPRINGFIELD","MA","42.1210","-72.4879","","7024"
"01138","SPRINGFIELD","MA","42.1015","-72.5905","P","0"
"01139","SPRINGFIELD","MA","42.1015","-72.5905","P","0"
"01144","SPRINGFIELD","MA","42.1002","-72.5912","","0"
"01151","INDIAN ORCHARD","MA","42.1513","-72.5105","","9150"
"01152","SPRINGFIELD","MA","42.1028","-72.5921","","0"
"01199","SPRINGFIELD","MA","42.1229","-72.6103","U","0"
"01201","PITTSFIELD","MA","42.4665","-73.2894","","45494"
"01202","PITTSFIELD","MA","42.4501","-73.2456","P","0"
"01203","PITTSFIELD","MA","42.4501","-73.2456","P","0"
"01220","ADAMS","MA","42.6271","-73.1187","","8166"
"01222","ASHLEY FALLS","MA","42.0654","-73.3165","","835"
"01223","BECKET","MA","42.3241","-73.1309","","2430"
"01224","BERKSHIRE","MA","42.5035","-73.2021","","217"
"01225","CHESHIRE","MA","42.5582","-73.1479","","3258"
"01226","DALTON","MA","42.4766","-73.1467","","6324"
"01227","DALTON","MA","42.4739","-73.1667","P","0"
"01229","GLENDALE","MA","42.2836","-73.3445","P","189"
"01230","GREAT BARRINGTON","MA","42.1712","-73.3303","","8907"
"01235","HINSDALE","MA","42.3959","-73.0763","","2733"
"01236","HOUSATONIC","MA","42.2631","-73.3835","","1513"
"01237","LANESBOROUGH","MA","42.5607","-73.2444","","2365"
"01238","LEE","MA","42.2880","-73.2069","","5722"
"01240","LENOX","MA","42.3665","-73.2711","","4692"
"01242","LENOX DALE","MA","42.3394","-73.2467","P","449"
"01243","MIDDLEFIELD","MA","42.3481","-73.0027","P","175"
"01244","MILL RIVER","MA","42.1373","-73.1953","P","287"
"01245","MONTEREY","MA","42.1798","-73.1969","","933"
"01247","NORTH ADAMS","MA","42.6956","-73.0880","","15147"
"01252","NORTH EGREMONT","MA","42.1967","-73.4386","","0"
"01253","OTIS","MA","42.1955","-73.0945","","808"
"01254","RICHMOND","MA","42.3791","-73.3659","","946"
"01255","SANDISFIELD","MA","42.1135","-73.1200","","959"
"01256","SAVOY","MA","42.5896","-73.0230","","645"
"01257","SHEFFIELD","MA","42.1039","-73.3677","","2140"
"01258","SOUTH EGREMONT","MA","42.1022","-73.4641","P","160"
"01259","SOUTHFIELD","MA","42.0792","-73.2382","","643"
"01260","SOUTH LEE","MA","42.2775","-73.2778","P","233"
"01262","STOCKBRIDGE","MA","42.2968","-73.3259","P","1758"
"01263","STOCKBRIDGE","MA","42.2878","-73.3208","U","0"
"01264","TYRINGHAM","MA","42.2265","-73.1976","P","219"
"01266","WEST STOCKBRIDGE","MA","42.3059","-73.3893","","1208"
"01267","WILLIAMSTOWN","MA","42.6423","-73.2526","","7876"
"01270","WINDSOR","MA","42.5131","-73.0502","","755"
"01301","GREENFIELD","MA","42.6319","-72.5974","","18042"
"01302","GREENFIELD","MA","42.5878","-72.6003","P","0"
"01330","ASHFIELD","MA","42.5259","-72.8093","","1500"
"01331","ATHOL","MA","42.5607","-72.1839","","13656"
"01337","BERNARDSTON","MA","42.6901","-72.5851","","2562"
"01338","BUCKLAND","MA","42.5800","-72.8003","","127"
"01339","CHARLEMONT","MA","42.6317","-72.8781","","1487"
"01340","COLRAIN","MA","42.6753","-72.7408","","1803"
"01341","CONWAY","MA","42.5097","-72.6990","","1539"
"01342","DEERFIELD","MA","42.5400","-72.6184","","1538"
"01343","DRURY","MA","42.6517","-72.9908","","165"
"01344","ERVING","MA","42.6089","-72.4246","","1665"
"01346","HEATH","MA","42.6657","-72.8333","","352"
"01347","LAKE PLEASANT","MA","42.5567","-72.5186","P","204"
"01349","MILLERS FALLS","MA","42.5739","-72.4842","","827"
"01350","MONROE BRIDGE","MA","42.7212","-72.9752","P","118"
"01351","MONTAGUE","MA","42.5482","-72.5112","","2293"
"01354","GILL","MA","42.6384","-72.5095","","1546"
"01355","NEW SALEM","MA","42.4260","-72.3164","","879"
"01360","NORTHFIELD","MA","42.6665","-72.4469","","2871"
"01364","ORANGE","MA","42.6205","-72.2944","","7665"
"01366","PETERSHAM","MA","42.4459","-72.2135","","1187"
"01367","ROWE","MA","42.6959","-72.9349","","506"
"01368","ROYALSTON","MA","42.6705","-72.1970","","1283"
"01370","SHELBURNE FALLS","MA","42.6014","-72.7391","","3932"
"01373","SOUTH DEERFIELD","MA","42.4649","-72.6172","","4526"
"01375","SUNDERLAND","MA","42.4661","-72.5555","","3639"
"01376","TURNERS FALLS","MA","42.5934","-72.5400","","5324"
"01378","WARWICK","MA","42.6663","-72.3449","","780"
"01379","WENDELL","MA","42.5547","-72.4083","","774"
"01380","WENDELL DEPOT","MA","42.5708","-72.4242","","82"
"01420","FITCHBURG","MA","42.5828","-71.8066","","41940"
"01430","ASHBURNHAM","MA","42.6557","-71.9220","","6303"
"01431","ASHBY","MA","42.6736","-71.8343","","3193"
"01432","AYER","MA","42.5629","-71.5688","","8221"
"01434","DEVENS","MA","42.5350","-71.6115","","1652"
"01436","BALDWINVILLE","MA","42.6001","-72.0863","","3208"
"01438","EAST TEMPLETON","MA","42.5651","-72.0316","P","414"
"01440","GARDNER","MA","42.5900","-71.9861","","21577"
"01441","WESTMINSTER","MA","42.5750","-71.9988","U","0"
"01450","GROTON","MA","42.6162","-71.5768","","11298"
"01451","HARVARD","MA","42.4985","-71.5819","","5461"
"01452","HUBBARDSTON","MA","42.4842","-72.0112","","4328"
"01453","LEOMINSTER","MA","42.5245","-71.7722","","43752"
"01460","LITTLETON","MA","42.5380","-71.4850","","10141"
"01462","LUNENBURG","MA","42.5871","-71.7209","","11818"
"01463","PEPPERELL","MA","42.6655","-71.5994","","11621"
"01464","SHIRLEY","MA","42.5795","-71.6445","","7427"
"01467","STILL RIVER","MA","42.4844","-71.6290","P","0"
"01468","TEMPLETON","MA","42.5432","-72.0669","","4309"
"01469","TOWNSEND","MA","42.6596","-71.7023","","7055"
"01472","WEST GROTON","MA","42.6006","-71.6302","P","0"
"01473","WESTMINSTER","MA","42.5595","-71.9087","","8213"
"01474","WEST TOWNSEND","MA","42.6697","-71.7434","","2072"
"01475","WINCHENDON","MA","42.6609","-72.0489","","10304"
"01501","AUBURN","MA","42.1957","-71.8461","","16731"
"01503","BERLIN","MA","42.3842","-71.6294","","3158"
"01504","BLACKSTONE","MA","42.0395","-71.5307","","9208"
"01505","BOYLSTON","MA","42.3540","-71.7174","","4849"
"01506","BROOKFIELD","MA","42.1945","-72.1038","","3439"
"01507","CHARLTON","MA","42.1318","-71.9732","","13315"
"01508","CHARLTON CITY","MA","42.1476","-71.9982","P","0"
"01509","CHARLTON DEPOT","MA","42.1733","-71.9794","P","0"
"01510","CLINTON","MA","42.4132","-71.6913","","15428"
"01515","EAST BROOKFIELD","MA","42.2073","-72.0489","","2224"
"01516","DOUGLAS","MA","42.0546","-71.7547","","8962"
"01518","FISKDALE","MA","42.1065","-72.1140","","3176"
"01519","GRAFTON","MA","42.2030","-71.6811","","7254"
"01520","HOLDEN","MA","42.3338","-71.8533","","16394"
"01521","HOLLAND","MA","42.0645","-72.1684","","2603"
"01522","JEFFERSON","MA","42.3764","-71.8723","","3464"
"01523","LANCASTER","MA","42.4721","-71.6676","","8377"
"01524","LEICESTER","MA","42.2401","-71.9188","","6621"
"01525","LINWOOD","MA","42.0973","-71.6455","P","73"
"01526","MANCHAUG","MA","42.0945","-71.7482","P","0"
"01527","MILLBURY","MA","42.1908","-71.7795","","13799"
